name,description,default value,flags
aimassist_sameEntity_guard,,1,FCVAR_RELEASE
autoConnect,"Automatically attempt to connect to a party server from the main menu, 0 = disabled, 1 = enabled, 2 = enabled w/ custom match",0,FCVAR_RELEASE
AutoRejectInviteToPlay,,0,FCVAR_RELEASE
bone_followers_refactor_enabled, ,1,FCVAR_RELEASE
cc_linger_time,Close caption linger time in seconds.,1,FCVAR_ARCHIVE
cc_predisplay_time,Close caption delay in seconds before showing caption.,0.25,FCVAR_ARCHIVE
cc_text_size,"Changes the size of subtitles and closed captions text. 0 = normal, 1 = large, 2 = huge.",0,FCVAR_ARCHIVE_GAMECONSOLE
cheap_track_disabled,,0,FCVAR_RELEASE
cheap_track_report_non_fatal_errors,,1,FCVAR_RELEASE
chroma_enable,,1,FCVAR_ARCHIVE
cl_comms_filter,"-1 = everyone, 0 = nobody, 1 = friends, 2 = party members. Anyone not matching criteria will be muted by default.",-1,FCVAR_ARCHIVE_GAMECONSOLE
cl_deathhints_enabled,,1,FCVAR_ARCHIVE_GAMECONSOLE
cl_ezlaunch_button,,0,FCVAR_HIDDEN | FCVAR_RELEASE
cl_fovScale,,1.27216005,FCVAR_USERINFO | FCVAR_ARCHIVE_GAMECONSOLE | FCVAR_CLIENTCMD_CAN_EXECUTE
cl_gib_allow,,1,FCVAR_CLIENTCMD_CAN_EXECUTE
cl_ipgeo_country,IP Geo based country code of the client, ,FCVAR_USERINFO
cl_is_softened_locale,,0,FCVAR_RELEASE
cl_isUnderAge,,0,FCVAR_USERINFO
cl_lagcompensation,Perform server side lag compensation of weapon firing events.,1,FCVAR_USERINFO
cl_liveapi_allow_requests,[LiveAPI] Allow processing and running any incoming requests.,1,FCVAR_RELEASE
cl_liveapi_enabled,[LiveAPI] Global State,0,FCVAR_RELEASE
cl_liveapi_pretty_print_log,[LiveAPI] Makes the JSON output more human-readable,0,FCVAR_RELEASE
cl_liveapi_requests_psk,"[LiveAPI] A preshared key that will be used to validate requests. When set, if a request is received that does not match, it is rejected", ,FCVAR_RELEASE
cl_liveapi_requests_psk_tries,[LiveAPI] Attempts allowed when making a request with the wrong key before the connection is dropped.,10,FCVAR_RELEASE
cl_liveapi_session_name,, ,FCVAR_RELEASE
cl_liveapi_use_protobuf,"[LiveAPI] Use protobuf as the serialization format. Otherwise, use JSON.",1,FCVAR_RELEASE
